38	51.4667071579	-0.1620596743		23103	559	155	17126	7176		505
39	51.5622786569	-0.6180059698		32053	768	191	6135	10271		2597
40	51.3809947437	0.0055233913	1001	27597	608		6893	9813		1551
41	52.1319035316	-0.4642708409	757	17546	393	120	16193	8957		1136
42	52.0299453091	-0.4856600515		28815	773		8108	13663		2826
43	52.1736788366	-0.3968941101	1265	30989			8957	12047		2294
44	51.8959143658	-0.5770734598	1703	26815			9948	10166		2142
45	54.598324	-5.892792								
46	54.618607	-5.917511				403				
47	54.582409	-5.925064			1036					
48	54.606277	-5.95665								
49	51.4967086094	-0.0731547525	1370	7638	718	155	13060	21590		
50	55.4328998179	-1.931058789	1213	14116			5061	16806		1243
51	55.5655109776	-2.6698750638		16555			5003	22230	4497	595
52	51.5267116211	-0.0478575213	1405	7071	856	277	21784	10210		
53	53.7953749854	-0.2301144936	2080	25063	686	225	11224	12076		1845
54	50.9431643639	0.4285568212	1950	28147			6524	15267		
55	51.4630452632	0.1629602641	2042	21794	371		11450	5502		1557
56	53.3854284776	-3.0410890163		6687			22082	6554		
57	52.4525181059	-1.9655064572	1196	15620	469		16894	6387		732
58	52.5249978151	-1.8374300063	1815	11592		240	14869	5742		842
59	52.442029451	-1.8705261654		7320		190	16039	11988		950
60	52.4891548698	-1.8136015753	2333	4936			22077	11775		714
61	52.488560704	-1.8987760518		4277	859		19950	9845		902
62	52.4068814694	-1.9693557752	2290	14059	406		16841	6550		1363
63	52.5258052506	-1.9133860103		8960			21142	9234		1675
64	52.4236743918	-1.9085837996	1820	14468	664		17950	10371		1131
65	52.4615357996	-1.8087088359	2153	7836			13160	16162		1190
66	54.6003440999	-1.9751189415	2036	10805			16023	9189		1119
67	53.74391151	-2.4971448198	2158	11895		238	21751	6918		942
68	53.5160200646	-2.2335357895	2469	6260			18563	4861		894
69	53.8581462861	-3.032616101	1556	16964			14814	5400		1659
70	53.7983012954	-3.0334262647	1482	12597			14449	5082		1352
71	51.7667598354	-3.1938299507	1211	2265			16974	3285		488
72	54.932126116	-1.7125127805	2277	7159			22297	13180		
73	55.0920728187	-1.5513046596	1699	6412		819	17156	10488		1665
74	50.8023528295	-0.638787435	1890	24087		235	6580	11024		3036
75	53.2020473817	-1.308922368	2640	10812			21994	6821		1721
76	53.6038198781	-2.4152211376		15786			19870	5624		1815
77	53.5520130733	-2.4171651789	2012	10148	614		18782	6289		1564
78	53.5763486571	-2.5199136895		18235	545	254	18327	8177		1901
79	53.4692083276	-2.9995911099	942	3678			27426	6245		2514
80	53.032971078	0.060812008	2278	21325		171	8899	6371		4081
81	52.6150381909	-1.3955230589	2458	23132			8674	18100		1098
82	50.7380019073	-1.828471205		21320		249	5836	13592		3027
83	50.7455128317	-1.9002456657		18808		456	6171	13225		2999
84	51.3778622228	-0.79955641	1253	27327	821		8755	11623		2297
85	53.8135201159	-1.7305668185	1854	10860		375	13272	13637		
86	53.7649243376	-1.7652872694	2651	11060			15682	6948		1339
87	53.7998650586	-1.8155581321	1370	12638	940		18401	4732		812
88	51.9755847812	0.578174813	1080	25901	718		9780	9247		2477
89	52.1051003964	-3.400273266		14182	341		4096	17929		876
90	51.5515282308	-0.2521366391		5067	668	163	18681	20026		
91	51.5686917268	-0.2926757268		16486	725	734	24514	8879		380
92	51.4793726398	-0.3221845353	704	20022	787	68	18064	12718		863
93	51.6771171308	0.2656038588	1447	28793	584	263	4992	11872		2037
94	51.5061973251	-3.6415274356	1020	11668			13931	8658		801
95	51.1353747349	-3.3242828737	1282	24675	859	315	9332	15426		2604
96	53.6149515253	-0.723797263	1498	19680			14533	6414		1749
